experiment_id,group_or_files,dataset,particle,modalities,role,stage_type,paper_section,selection_metric,include_level,validation_policy,test_policy,status,source_files,notes
A5a,a5a_alpha_handcrafted_screening,Alpha_100,alpha,ToT;ToA,diagnostic,feature_screening,Handcrafted physical features,validation_permutation_importance,discussion,validation_only_feature_screening,no_test_in_screening,completed,outputs/a5a_alpha_handcrafted_screening/a5a_alpha_handcrafted_screening,传统模型和置换重要性筛选手工特征;test不参与筛选
A5b,a5b_alpha_handcrafted_group_ablation,Alpha_100,alpha,ToT image plus ToT/ToA scalars,screening,seed42_concat_feature_groups,Handcrafted physical features,validation_accuracy,appendix_or_support,used_for_feature_group_screening,report_only,completed,outputs/a5b_alpha_handcrafted_group_ablation_runs.csv,低冗余手工特征concat初筛;simple concat收益有限
A5c,a5c_alpha_handcrafted_gated_seed42,Alpha_100,alpha,ToT image plus ToT/ToA scalars,screening,seed42_gated_diagnostic,Handcrafted physical features,validation_accuracy,appendix_or_support,used_for_gated_feature_choice,report_only,completed,outputs/a5c_alpha_handcrafted_gated_seed42_runs.csv,gated诊断;说明gated优于simple concat并选A5d候选
A5d,a5d_alpha_handcrafted_gated_3seed,Alpha_100,alpha,ToT image plus ToT/ToA scalars,ablation,three_seed_feature_fusion,Handcrafted physical features,validation_accuracy,main_ablation_table,validation_selects_feature_setting,test_reports_generalization,completed,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv;outputs/a5d_alpha_handcrafted_gated_3seed_mean_std.csv,手工物理特征gated三seed验证;validation正向但test accuracy不稳定
A6a,a6a_alpha_tot_ordinal_loss_seed42,Alpha_100,alpha,ToT,screening,loss_strategy_screening,Ordinal angle-aware loss,validation_accuracy,appendix_or_support,used_for_loss_candidate_screening,report_only,completed,outputs/a6a_alpha_tot_ordinal_loss_seed42_runs.csv;configs/experiments/a6a_alpha_tot_ordinal_loss_seed42.yaml,Alpha ordered-loss seed42 screening; CE+EMD lambda=0.02 was only a tie-break validation candidate
A6b,a6b_alpha_tot_ce_emd_0p02_3seed,Alpha_100,alpha,ToT,ablation,three_seed_loss_verification,Ordinal angle-aware loss,validation_accuracy,main_ablation_table,validation_compares_against_A2_baseline,final_generalization_report,completed,outputs/a6b_alpha_tot_ce_emd_0p02_3seed_runs.csv;outputs/a6b_alpha_tot_ce_emd_0p02_3seed_mean_std.csv,Alpha CE+EMD lambda=0.02 three-seed verification; rejected because validation metrics are weaker than A2 CE baseline
A6c,not_run_after_A6b,Alpha_100,alpha,ToT+ToA,planned_cancelled,loss_transfer_cancelled,Ordinal angle-aware loss,validation_accuracy,exclude,not_pursued_after_negative_A6b,not_applicable,cancelled,none,Planned migration of A6 loss to GMU was cancelled because A6b was negative
A7,a7_final_gmu_main5feat_gated_3seed,Alpha_100,alpha,ToT+ToA,ablation,final_component_check,Final model confirmation,validation_accuracy,main_ablation_table,validation_compares_against_A4c_GMU,test_report_only,completed,outputs/a7_final_gmu_main5feat_gated_3seed_runs.csv;outputs/a7_final_gmu_main5feat_gated_3seed_mean_std.csv,Final Alpha GMU component check; main_5feat gated handcrafted scalars are not selected for final model
B1-1,b1_proton_c7_resnet18_tot_lr_batch; b1_proton_c7_resnet18_tot_lr_batch_ep25_from20,Proton_C_7,proton,ToT,screening,hparam_search,Proton baseline construction,validation_accuracy,appendix,used_for_lr_batch_choice,report_only,completed,outputs/b1_proton_c7_resnet18_tot_lr_batch_ep25_from20_runs.csv,Proton学习率和batch筛选;中继25epoch结果选择lr=3e-4 batch=128
B1-2,b1_proton_c7_resnet18_tot_weight_decay_ep25,Proton_C_7,proton,ToT,screening,hparam_search,Proton baseline construction,validation_accuracy,appendix,used_for_weight_decay_choice,report_only,completed,outputs/b1_proton_c7_resnet18_tot_weight_decay_ep25_runs.csv,Proton weight_decay筛选;最终选择1e-4
B1-best,b1_proton_c7_resnet18_tot_best_patience8_3seed,Proton_C_7,proton,ToT,baseline,three_seed_verification,Proton baseline construction,validation_accuracy,main_table,model_selection_baseline,final_generalization_report,completed,outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_runs.csv;outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_mean_std.csv,Proton_C_7正式baseline;patience=8版本
B1-best-old,b1_proton_c7_resnet18_tot_best_3seed,Proton_C_7,proton,ToT,excluded,diagnostic_old_early_stopping,Excluded runs,not_applicable,exclude,do_not_use_for_final,diagnostic_only,completed,outputs/b1_proton_c7_resnet18_tot_best_3seed_runs.csv;outputs/b1_proton_c7_resnet18_tot_best_3seed_mean_std.csv,旧patience=5早停过激;只用于说明为何重跑
B2a,b2_proton_c7_handcrafted_lowcorr_seed42,Proton_C_7,proton,ToT image plus ToT scalars,diagnostic,seed42_concat_feature_transfer,Handcrafted physical features,validation_accuracy,discussion_or_appendix,diagnostic_only,report_only,completed,outputs/b2_proton_c7_handcrafted_lowcorr_seed42_runs.csv,Proton手工特征concat低成本验证;几何特征极小增益;ToT_density变差
B2b,b2_proton_c7_handcrafted_gated_seed42,Proton_C_7,proton,ToT image plus ToT scalars,diagnostic,seed42_gated_feature_transfer,Handcrafted physical features,validation_accuracy,discussion_or_appendix,diagnostic_only,report_only,completed,outputs/b2_proton_c7_handcrafted_gated_seed42_runs.csv,gated能抑制ToT_density负面影响但无实质提升
B3a,b3a_proton_c7_ordinal_loss_seed42,Proton_C_7,proton,ToT,screening,loss_strategy_screening,Ordinal angle-aware loss,validation_accuracy,appendix_or_support,used_for_loss_choice,report_only,completed,outputs/b3a_proton_c7_ordinal_loss_seed42_runs.csv,Proton角度有序损失筛选;按validation选择ExpectedMAE lambda=0.05
B3b-main,b3b_proton_c7_expected_mae_3seed,Proton_C_7,proton,ToT,main_result,three_seed_loss_verification,Ordinal angle-aware loss,validation_accuracy,main_table,validation_selected_main_loss,final_generalization_report,completed,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv;outputs/b3b_proton_c7_expected_mae_3seed_mean_std.csv,Proton当前推荐损失;ExpectedMAE显著提升且稳定
B3b-optional,b3b_proton_c7_ce_emd_optional_3seed,Proton_C_7,proton,ToT,ablation,three_seed_loss_verification,Ordinal angle-aware loss,validation_accuracy,main_ablation_table,optional_validation_comparison,final_generalization_report,completed,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv;outputs/b3b_proton_c7_ce_emd_optional_3seed_mean_std.csv,CE+EMD有序损失对照;Val MAE略优但不是primary metric最优
B4,pending,Proton_C_7,proton,ToT,planned,final_confirmation,Final model confirmation,validation_accuracy,pending,not_started,not_started,pending,none,最终模型确认占位;待决定是否需要更多seed或最终汇总
M1,compare_mixed_precision,Alpha_100,alpha,ToT,diagnostic,technical_validation,Technical appendix,not_applicable,appendix,not_for_model_selection,not_for_model_selection,completed,outputs/compare_mixed_precision_summary.csv;outputs/experiments/compare_mixed_precision,混合精度技术检查;不进入科学主结果
LEGACY-baseline,baseline,Alpha_100,alpha,ToT,excluded,legacy_baseline,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,completed,outputs/experiments/baseline,早期baseline目录;当前论文主线使用A2-best
LEGACY-configs,alpha_resnet18_tot_handcrafted*;alpha_resnet18_tot_toa;compare_losses;compare_models;proton_resnet18_tot,Alpha_100;Proton_C_7,alpha;proton,mixed,excluded,legacy_config,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,legacy,configs/experiments,早期配置入口;不代表当前正式实验体系
LEGACY-run-ablation,run_ablation,Alpha_100,alpha,mixed,excluded,temporary_script,Excluded runs,not_applicable,exclude,do_not_use,do_not_use,legacy,run_ablation,早期临时消融脚本;不作为正式实验划分
